datetime,offpeak,shoulder,peak,export,bat_charge,bat_charge2,bat_discharge,house_load,gen_price,fit_price,aemo_price,pe_datetime,solar_gen
2025-12-19 00:04:59,0,0,0,0.004,unavailable,unavailable,unavailable,0.1,0.21,0.21,0.21,2025-12-19 00:04:59,0
2025-12-19 00:09:59,0,0,0,0.008,unavailable,unavailable,unavailable,0.1,0.29,0.29,0.29,2025-12-19 00:09:59,0
2025-12-19 00:14:59,0,0,0,0.012,unavailable,unavailable,unavailable,0.1,0.22,0.22,0.22,2025-12-19 00:14:59,0
2025-12-19 00:19:59,0,0,0,0.016,unavailable,unavailable,unavailable,0.1,0.24,0.24,0.24,2025-12-19 00:19:59,0
2025-12-19 00:24:59,0,0,0,0.02,unavailable,unavailable,unavailable,0.1,0.22,0.22,0.22,2025-12-19 00:24:59,0
2025-12-19 00:29:59,0,0,0,0.024,unavailable,unavailable,unavailable,0.2,0.2,0.2,0.2,2025-12-19 00:29:59,0
2025-12-19 00:34:59,0,0,0,0.028,unavailable,unavailable,unavailable,0.2,0.19,0.19,0.19,2025-12-19 00:34:59,0
2025-12-19 00:39:59,0,0,0,0.032,unavailable,unavailable,unavailable,0.2,0.2,0.2,0.2,2025-12-19 00:39:59,0
2025-12-19 00:44:59,0,0,0,0.036,unavailable,unavailable,unavailable,0.2,0.18,0.18,0.18,2025-12-19 00:44:59,0
2025-12-19 00:49:59,0,0,0,0.04,unavailable,unavailable,unavailable,0.3,0.19,0.19,0.19,2025-12-19 00:49:59,0
2025-12-19 00:54:59,0,0,0,0.044,unavailable,unavailable,unavailable,0.3,0.2,0.2,0.2,2025-12-19 00:54:59,0
2025-12-19 00:58:59,0,0,0,0.046,0,0,0,0.3,0.2,0.2,0.2,2025-12-19 00:58:59,0
2025-12-19 01:03:59,0,0,0,0.048,0,0,0,0.3,0.24,0.24,0.24,2025-12-19 01:03:59,0
2025-12-19 01:04:59,0,0,0,0.052,unavailable,unavailable,unavailable,0.3,0.21,0.21,0.21,2025-12-19 01:04:59,0
2025-12-19 01:09:59,0,0,0,0.056,unavailable,unavailable,unavailable,0.3,0.22,0.22,0.22,2025-12-19 01:09:59,0
2025-12-19 01:14:59,0,0,0,0.06,unavailable,unavailable,unavailable,0.4,0.22,0.22,0.22,2025-12-19 01:14:59,0
2025-12-19 01:19:59,0,0,0,0.064,unavailable,unavailable,unavailable,0.4,0.22,0.22,0.22,2025-12-19 01:19:59,0
2025-12-19 01:24:59,0,0,0,0.068,unavailable,unavailable,unavailable,0.4,0.21,0.21,0.21,2025-12-19 01:24:59,0
2025-12-19 01:29:59,0,0,0,0.072,unavailable,unavailable,unavailable,0.4,0.21,0.21,0.21,2025-12-19 01:29:59,0
2025-12-19 01:34:59,0,0,0,0.076,unavailable,unavailable,unavailable,0.4,0.2,0.2,0.2,2025-12-19 01:34:59,0
2025-12-19 01:39:59,0,0,0,0.08,unavailable,unavailable,unavailable,0.5,0.2,0.2,0.2,2025-12-19 01:39:59,0
2025-12-19 01:44:59,0,0,0,0.084,unavailable,unavailable,unavailable,0.5,0.2,0.2,0.2,2025-12-19 01:44:59,0
2025-12-19 01:49:59,0,0,0,0.087,unavailable,unavailable,unavailable,0.5,0.19,0.19,0.19,2025-12-19 01:49:59,0
2025-12-19 01:54:59,0,0,0,0.091,unavailable,unavailable,unavailable,0.5,0.2,0.2,0.2,2025-12-19 01:54:59,0
2025-12-19 01:58:59,0,0,0,0.093,0,0,0,0.5,0.2,0.2,0.2,2025-12-19 01:58:59,0
2025-12-19 02:03:59,0,0,0,0.095,0,0,0,0.5,0.17,0.17,0.17,2025-12-19 02:03:59,0
2025-12-19 02:04:59,0,0,0,0.099,unavailable,unavailable,unavailable,0.6,0.18,0.18,0.18,2025-12-19 02:04:59,0
