date,foxmodbus_solar_energy_today_kwh,sample_time
2026-06-30,9.0,2026-06-30T16:05:26.297729+10:00
2026-07-01,10.3,2026-07-01T16:23:58.321517+10:00
2026-07-02,13.0,2026-07-02T15:58:17.741372+10:00
2026-07-03,10.2,2026-07-03T16:16:14.275159+10:00
2026-07-04,13.8,2026-07-04T16:17:01.069450+10:00
2026-07-05,10.5,2026-07-05T16:20:12.454948+10:00
2026-07-06,9.5,2026-07-06T16:21:32.261194+10:00
2026-07-07,9.4,2026-07-07T16:04:40.099135+10:00
2026-07-08,8.5,2026-07-08T16:06:46.625877+10:00
2026-07-09,12.3,2026-07-09T16:19:13.170068+10:00
2026-07-10,0.1,2026-07-10T07:38:04.057214+10:00
