date,generationPower_kwh,generationPower_peak_kw,pvPower_kwh,pvPower_peak_kw,meterPower2_kwh,meterPower2_peak_kw,fox_string_pv_kwh,ac_solar_kwh,total_pv_kwh
2025-12-01,38.965,12.367,21.754,5.375,16.647,3.346,21.754,16.647,38.401
2025-12-02,50.097,12.348,42.941,7.042,26.139,3.876,42.941,26.139,69.08
2025-12-03,44.817,12.36,41.605,33.746,25.727,16.493,41.605,25.727,67.332
2025-12-04,45.127,12.359,40.427,6.403,25.04,3.527,40.427,25.04,65.467
2025-12-05,41.1,12.258,39.124,6.434,24.281,3.408,39.124,24.281,63.405
2025-12-06,36.587,12.356,27.615,6.304,18.342,3.718,27.615,18.342,45.957
2025-12-07,38.073,12.372,10.531,2.274,7.518,1.535,10.531,7.518,18.049
2025-12-08,19.145,12.174,35.904,7.307,20.828,4.224,35.904,20.828,56.732
2025-12-09,21.291,12.275,39.988,6.269,24.491,3.451,39.988,24.491,64.479
2025-12-10,27.66,12.326,27.399,7.595,15.762,4.096,27.399,15.762,43.161
2025-12-11,13.67,11.982,5.651,5.385,-4.94,3.329,5.651,4.94,10.591
2025-12-12,17.046,12.331,7.565,2.821,-6.65,2.188,7.565,6.65,14.215
2025-12-13,33.283,12.41,24.143,6.547,-23.456,4.372,24.143,23.456,47.599
2025-12-14,37.831,12.284,34.376,6.497,-27.138,4.17,34.376,27.138,61.514
2025-12-15,36.065,12.144,31.685,7.314,-22.747,4.766,31.685,22.747,54.432
2025-12-16,36.608,14.449,9.561,3.5,-8.203,2.633,9.561,8.203,17.764
2025-12-17,41.817,12.413,38.767,6.599,-27.83,4.626,38.767,27.83,66.597
2025-12-18,37.351,12.282,37.633,6.409,-29.552,4.187,37.633,29.552,67.185
2025-12-19,43.414,12.425,32.659,6.364,-25.275,4.094,32.659,25.275,57.934
2025-12-20,32.135,12.355,16.914,7.645,-17.323,5.044,16.914,17.323,34.237
2025-12-21,31.205,12.323,26.55,6.568,-21.757,4.156,26.55,21.757,48.307
2025-12-22,50.546,12.161,25.691,6.211,-18.329,3.69,25.691,18.329,44.02
2025-12-23,42.848,12.014,39.386,14.808,-29.46,13.094,39.386,29.46,68.846
2025-12-24,33.07,10.201,38.856,6.671,-27.337,7.915,38.856,27.337,66.193
2025-12-25,48.089,10.76,17.732,6.73,-15.716,4.253,17.732,15.716,33.448
2025-12-26,42.65,10.237,7.081,2.533,-7.144,2.018,7.081,7.144,14.225
2025-12-27,41.123,10.315,33.94,7.486,-23.855,4.295,33.94,23.855,57.795
2025-12-28,44.22,10.157,32.626,6.81,-23.782,4.265,32.626,23.782,56.408
2025-12-29,39.801,10.345,41.774,6.212,-29.036,3.813,41.774,29.036,70.81
2025-12-30,28.953,10.315,42.239,5.811,-30.883,3.704,42.239,30.883,73.122
2025-12-31,25.931,10.294,24.214,5.192,-19.26,3.629,24.214,19.26,43.474
2026-01-01,41.989,10.246,6.785,1.76,-6.614,1.352,6.785,6.614,13.399
2026-01-02,25.887,10.335,23.083,6.631,-17.446,4.244,23.083,17.446,40.529
2026-01-03,24.531,10.378,23.437,6.573,-17.626,4.29,23.437,17.626,41.063
2026-01-04,30.424,10.336,26.015,5.822,-20.016,3.814,26.015,20.016,46.031
2026-01-05,23.912,10.304,29.531,6.688,-23.368,4.139,29.531,23.368,52.899
2026-01-06,28.605,10.238,40.103,5.401,-27.946,3.544,40.103,27.946,68.049
2026-01-07,32.598,10.301,42.342,5.549,-29.907,3.532,42.342,29.907,72.249
2026-01-08,27.017,10.271,41.635,5.536,-30.013,3.52,41.635,30.013,71.648
2026-01-09,27.171,10.272,41.236,5.602,-30.139,3.573,41.236,30.139,71.375
2026-01-10,20.405,10.272,39.364,5.299,-28.805,3.422,39.364,28.805,68.169
2026-01-11,32.107,10.334,2.425,0.998,-3.462,0.839,2.425,3.462,5.887
2026-01-12,30.233,10.322,11.82,3.542,-9.809,2.59,11.82,9.809,21.629
2026-01-13,30.9,10.231,34.304,5.882,-24.396,4.07,34.304,24.396,58.7
2026-01-14,24.489,10.333,23.8,6.885,-18.9,4.264,23.8,18.9,42.7
2026-01-15,21.365,10.309,29.359,6.808,-21.284,4.141,29.359,21.284,50.643
2026-01-16,24.326,10.255,22.748,6.198,-16.661,4.177,22.748,16.661,39.409
2026-01-17,35.565,10.376,9.068,4.819,-8.814,3.726,9.068,8.814,17.882
2026-01-18,30.442,10.333,12.244,4.388,-10.581,3.182,12.244,10.581,22.825
2026-01-19,34.296,10.219,31.782,6.976,-21.961,4.262,31.782,21.961,53.743
2026-01-20,29.72,10.252,32.805,6.765,-22.577,4.246,32.805,22.577,55.382
2026-01-21,24.203,10.255,36.792,6.909,-26.69,4.284,36.792,26.69,63.482
2026-01-22,16.67,10.289,24.44,7.113,-19.003,4.262,24.44,19.003,43.443
2026-01-23,26.22,11.584,35.123,11.354,-24.799,7.762,35.123,24.799,59.922
2026-01-24,34.77,12.679,40.779,10.694,-29.321,8.155,40.779,29.321,70.1
2026-01-25,24.014,10.272,37.884,5.297,-26.992,3.303,37.884,26.992,64.876
2026-01-26,18.313,10.24,18.784,4.952,-15.13,3.496,18.784,15.13,33.914
2026-01-27,27.08,10.251,40.302,5.632,-26.527,3.649,40.302,26.527,66.829
2026-01-28,30.783,10.266,40.753,5.551,-29.238,3.589,40.753,29.238,69.991
2026-01-29,25.221,10.256,39.262,5.373,-27.309,3.394,39.262,27.309,66.571
2026-01-30,27.658,10.252,35.709,5.794,-25.337,4.01,35.709,25.337,61.046
2026-01-31,23.52,10.285,37.485,5.183,-26.671,3.333,37.485,26.671,64.156
